Month,country,role,monthly_goldstein,monthly_event_count
2016-03-01,FRA,actor2,4.173333333333334,15
2016-03-01,IRL,actor1,6.6000000000000005,3
2016-03-01,IRL,actor2,5.875,8
2016-03-01,ITA,actor1,7.400000000000001,3
2016-03-01,ITA,actor2,3.55,4
2016-03-01,NLD,actor1,0.0,4
2016-04-01,BEL,actor1,6.2,2
2016-04-01,DEU,actor1,3.6923076923076925,13
2016-04-01,DEU,actor2,1.2000000000000002,4
2016-04-01,ESP,actor1,6.300000000000001,2
2016-04-01,FRA,actor1,4.984615384615386,13
2016-04-01,FRA,actor2,6.345454545454547,11
2016-04-01,IRL,actor1,5.716666666666668,12
2016-04-01,IRL,actor2,7.4,1
2016-04-01,ITA,actor1,5.0,2
2016-04-01,ITA,actor2,3.56,5
2016-04-01,NLD,actor1,4.94,10
2016-04-01,NLD,actor2,7.4,1
2016-04-01,PRT,actor1,5.2,2
2016-05-01,AUT,actor1,0.0,4
2016-05-01,BEL,actor1,2.1714285714285713,7
2016-05-01,DEU,actor1,4.363636363636363,11
2016-05-01,DEU,actor2,4.111111111111111,9
2016-05-01,ESP,actor1,7.4,4
2016-05-01,ESP,actor2,4.800000000000001,4
2016-05-01,FIN,actor1,7.4,2
2016-05-01,FIN,actor2,7.4,2
2016-05-01,FRA,actor1,0.9500000000000002,8
2016-05-01,FRA,actor2,5.285714285714286,7
2016-05-01,IRL,actor1,2.466666666666667,3
2016-05-01,IRL,actor2,3.7,4
2016-05-01,ITA,actor1,6.171428571428572,7
2016-05-01,ITA,actor2,2.1333333333333333,3
2016-05-01,NLD,actor1,4.55,4
2016-05-01,NLD,actor2,7.4,1
2016-05-01,PRT,actor1,7.4,1
2016-05-01,PRT,actor2,6.4,1
2016-06-01,AUT,actor2,6.4,1
2016-06-01,BEL,actor1,7.4,2
2016-06-01,BEL,actor2,-8.0,2
2016-06-01,DEU,actor1,2.3111111111111113,18
2016-06-01,DEU,actor2,5.2,9
2016-06-01,ESP,actor1,6.9,2
2016-06-01,ESP,actor2,5.050000000000001,4
2016-06-01,FIN,actor1,3.4,1
2016-06-01,FRA,actor1,5.7,12
2016-06-01,FRA,actor2,4.709090909090909,11
2016-06-01,IRL,actor1,5.075,8
2016-06-01,IRL,actor2,5.685714285714285,7
2016-06-01,ITA,actor1,5.514285714285714,7
2016-06-01,ITA,actor2,7.066666666666667,3
2016-06-01,LUX,actor1,2.3333333333333335,3
2016-06-01,NLD,actor1,5.32,5
2016-06-01,NLD,actor2,6.4,1
2016-06-01,PRT,actor2,5.0,1
2016-07-01,DEU,actor1,4.753846153846154,13
2016-07-01,DEU,actor2,5.305263157894737,19
2016-07-01,FIN,actor1,6.4,1
2016-07-01,FRA,actor1,5.15,8
2016-07-01,FRA,actor2,2.9818181818181824,11
2016-07-01,IRL,actor1,5.48,10
2016-07-01,IRL,actor2,2.466666666666667,3
2016-07-01,ITA,actor1,-0.5999999999999999,5
2016-07-01,ITA,actor2,6.9,2
2016-07-01,NLD,actor1,6.900000000000001,6
2016-07-01,NLD,actor2,6.4,1
2016-08-01,AUT,actor1,7.4,1
2016-08-01,AUT,actor2,7.400000000000001,3
2016-08-01,BEL,actor1,3.2,2
2016-08-01,DEU,actor1,5.5600000000000005,5
2016-08-01,DEU,actor2,5.5,6
2016-08-01,ESP,actor1,3.2,4
2016-08-01,ESP,actor2,1.85,4
2016-08-01,FIN,actor2,5.550000000000001,4
2016-08-01,FRA,actor1,4.880000000000001,10
2016-08-01,FRA,actor2,5.177777777777778,9
2016-08-01,IRL,actor1,6.5,8
2016-08-01,ITA,actor1,5.92,5
2016-08-01,ITA,actor2,5.714285714285714,7
2016-08-01,NLD,actor1,4.8,7
2016-08-01,NLD,actor2,0.0,1
2016-08-01,PRT,actor2,0.0,2
2016-09-01,BEL,actor1,0.0,2
2016-09-01,BEL,actor2,5.5200000000000005,5
2016-09-01,DEU,actor1,-0.2666666666666665,9
2016-09-01,DEU,actor2,7.114285714285715,7
2016-09-01,ESP,actor1,3.7,4
2016-09-01,ESP,actor2,7.4,1
2016-09-01,FRA,actor1,3.9272727272727277,11
2016-09-01,FRA,actor2,7.4,4
2016-09-01,IRL,actor1,6.2,5
2016-09-01,IRL,actor2,6.300000000000001,8
2016-09-01,ITA,actor1,1.6000000000000003,6
2016-09-01,ITA,actor2,7.4,7
2016-09-01,LUX,actor1,5.0,2
2016-09-01,NLD,actor1,6.4,1
2016-09-01,NLD,actor2,5.622222222222224,9
2016-09-01,PRT,actor2,7.4,1
